,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,Season,avg_temp
0,1254,Arecanut,1990,36613,1485,Kharif     ,16.37
1,2,Other Kharif pulses,1990,66667,1485,Kharif     ,16.37
2,102,Rice,1990,23333,1485,Kharif     ,16.37
3,176,Banana,1990,12500,1485,Whole Year ,16.37
4,720,Cashewnut,1990,7000,1485,Whole Year ,16.37
5,18168,Coconut ,1990,30197,1485,Whole Year ,16.37
6,36,Dry ginger,1991,29068,1485,Whole Year ,15.36
7,1,Sugarcane,1991,77818,1485,Whole Year ,15.36
8,5,Sweet potato,1991,28538,1485,Whole Year ,15.36
9,40,Tapioca,1991,6667,1485,Whole Year ,15.36
10,1254,Arecanut,1991,6066,1485,Kharif     ,15.36
11,2,Other Kharif pulses,1991,20698,1485,Kharif     ,15.36
12,83,Rice,1992,24876,1485,Kharif     ,16.06
13,719,Cashewnut,1992,82920,1485,Whole Year ,16.06
14,18190,Coconut ,1992,40000,1485,Whole Year ,16.06
15,46,Dry ginger,1992,3747,1485,Whole Year ,16.06
16,1,Sugarcane,1992,4507,1485,Whole Year ,16.06
17,11,Sweet potato,1992,24388,1485,Whole Year ,16.06
18,189.2,Rice,1993,24185,1485,Kharif     ,16.05
19,1258,Arecanut,1993,98446,1485,Whole Year ,16.05
20,213,Banana,1993,41786,1485,Whole Year ,16.05
21,63,Black pepper,1993,7998,1485,Whole Year ,16.05
22,719,Cashewnut,1993,29976,1485,Whole Year ,16.05
23,18240,Coconut ,1994,25848,1485,Whole Year ,16.96
24,413,Dry chillies,1994,81404,1485,Whole Year ,16.96
25,47.3,Dry ginger,1994,7927,1485,Whole Year ,16.96
26,5,Sugarcane,1994,24745,1485,Whole Year ,16.96
27,52,Rice,1995,31300,1485,Kharif     ,15.67
28,1261,Arecanut,1995,111323,1485,Whole Year ,15.67
29,266,Banana,1995,11791,1485,Whole Year ,15.67
30,75.5,Black pepper,1995,28703,1485,Whole Year ,15.67
31,717,Cashewnut,1996,32604,1485,Whole Year ,15.64
32,18284.74,Coconut ,1996,106138,1485,Whole Year ,15.64
33,60,Dry chillies,1996,15480,1485,Whole Year ,15.64
34,102,Dry ginger,1996,21741,1485,Whole Year ,15.64
35,4.2,other oilseeds,1997,31862,1485,Whole Year ,15.9
36,52.94,Rice,1997,109874,1485,Kharif     ,15.9
37,1264.7,Arecanut,1997,12768,1485,Whole Year ,15.9
38,66.42,Banana,1997,28516,1485,Whole Year ,15.9
39,85,Black pepper,1998,33416,1485,Whole Year ,16.27
40,683.5,Cashewnut,1998,127212,1485,Whole Year ,16.27
41,18394.7,Coconut ,1998,14327,1485,Whole Year ,16.27
42,60,Dry chillies,1998,28037,1485,Whole Year ,16.27
43,118,Dry ginger,1999,37455,1485,Whole Year ,16.57
44,1,other oilseeds,1999,142018,1485,Whole Year ,16.57
45,2.09,Rice,1999,17143,1485,Kharif     ,16.57
46,795.67,Arecanut,1999,24954,1485,Whole Year ,16.57
47,22,Banana,2000,38811,1485,Whole Year ,16.67
48,41,Black pepper,2000,141228,1485,Whole Year ,16.67
49,450,Cashewnut,2000,15000,1485,Whole Year ,16.67
50,13876.57,Coconut ,2000,30455,1485,Whole Year ,16.67
51,17,Dry chillies,2001,38135,1485,Whole Year ,16.59
52,10,Turmeric,2001,148818,1485,Whole Year ,16.59
53,896,Arecanut,2001,20000,1485,Whole Year ,16.59
54,198,Banana,2001,28220,1485,Whole Year ,16.59
55,22.16,Black pepper,2002,39460,1485,Whole Year ,16.47
56,450,Cashewnut,2002,153868,1485,Whole Year ,16.47
